Sr.No.,District,N,OC,P,K
1,Ahmednagar,89.31%,44.06%,32.99%,15.49%
2,Akola,82.30%,51.75%,15.80%,0.75%
3,Amravati,35.19%,57.78%,8.37%,1.22%
4,Aurangabad,81.28%,58.14%,23.71%,11.28%
5,Beed,55.93%,41.39%,6.71%,0.69%
6,Bhandara,28.72%,52.67%,2.24%,1.32%
7,Buldhana,84.12%,78.81%,42.40%,0.27%
8,Chandrapur,63.87%,81.09%,3.12%,1.37%
9,Dhule,89.72%,60.84%,6.06%,0.95%
10,Gadchiroli,11.40%,34.02%,4.98%,1.65%
11,Gondia,22.58%,38.42%,2.62%,1.92%
12,Hingoli,78.96%,49.33%,32.29%,0.50%
13,Jalgaon,72.83%,62.39%,17.10%,0.95%
14,Jalna,77.07%,81.52%,32.39%,0.68%
15,Kolhapur,67.08%,28.05%,8.70%,6.77%
16,Latur,43.12%,23.07%,76.31%,1.10%
17,Nagpur,17.30%,35.16%,8.18%,2.44%
18,Nanded,95.53%,47.99%,14.29%,0.92%
19,Nandurbar,67.60%,27.16%,38.24%,1.52%
20,Nashik,64.25%,32.43%,14.32%,8.65%
21,Osmanabad,21.95%,38.60%,85.46%,4.19%
22,Palghar,24.37%,23.29%,16.12%,22.04%
23,Parbhani,85.02%,68.58%,30.04%,0.42%
24,Pune,47.53%,25.52%,28.38%,17.73%
25,Raigad,8.36%,13.40%,50.39%,4.11%
26,Ratnagiri,10.62%,0.43%,60.07%,24.87%
27,Sangli,69.31%,36.66%,8.37%,10.13%
28,Satara,41.64%,44.91%,7.89%,7.16%
29,Sindhudurg,51.92%,1.49%,73.25%,1.90%
30,Solapur,75.72%,53.07%,28.36%,8.93%
31,Thane,28.79%,0.17%,30.97%,28.40%
32,Wardha,49.92%,60.07%,15.97%,1.22%
33,Washim,77.62%,48.84%,42.05%,1.26%
34,Yavatmal,69.57%,71.87%,16.36%,2.54%
